mes,borough,payment_method,fare_class_category,ridership
2020-06,Staten Island,metrocard,Metrocard - Fair Fare,839
2020-06,Staten Island,metrocard,Metrocard - Full Fare,28102
2020-06,Staten Island,metrocard,Metrocard - Other,7462
2020-06,Staten Island,metrocard,Metrocard - Seniors & Disability,2014
2020-06,Staten Island,metrocard,Metrocard - Students,402
2020-06,Staten Island,metrocard,Metrocard - Unlimited 30-Day,2388
2020-06,Staten Island,metrocard,Metrocard - Unlimited 7-Day,3087
2020-06,Staten Island,omny,OMNY - Full Fare,2014
2020-07,Bronx,metrocard,Metrocard - Fair Fare,204120
2020-07,Bronx,metrocard,Metrocard - Full Fare,1920868
2020-07,Bronx,metrocard,Metrocard - Other,292825
2020-07,Bronx,metrocard,Metrocard - Seniors & Disability,114927
2020-07,Bronx,metrocard,Metrocard - Students,127
2020-07,Bronx,metrocard,Metrocard - Unlimited 30-Day,396512
2020-07,Bronx,metrocard,Metrocard - Unlimited 7-Day,695177
2020-07,Bronx,omny,OMNY - Full Fare,280434
2020-07,Brooklyn,metrocard,Metrocard - Fair Fare,314057
2020-07,Brooklyn,metrocard,Metrocard - Full Fare,4728413
2020-07,Brooklyn,metrocard,Metrocard - Other,604027
2020-07,Brooklyn,metrocard,Metrocard - Seniors & Disability,325244
2020-07,Brooklyn,metrocard,Metrocard - Students,127
2020-07,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,996090
2020-07,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,1153291
2020-07,Brooklyn,omny,OMNY - Full Fare,160041
2020-07,Manhattan,metrocard,Metrocard - Fair Fare,434539
2020-07,Manhattan,metrocard,Metrocard - Full Fare,7652771
2020-07,Manhattan,metrocard,Metrocard - Other,1022330
2020-07,Manhattan,metrocard,Metrocard - Seniors & Disability,573456
2020-07,Manhattan,metrocard,Metrocard - Students,253
2020-07,Manhattan,metrocard,Metrocard - Unlimited 30-Day,1785965
2020-07,Manhattan,metrocard,Metrocard - Unlimited 7-Day,1894403
2020-07,Manhattan,omny,OMNY - Full Fare,1091329
2020-07,Queens,metrocard,Metrocard - Fair Fare,142224
2020-07,Queens,metrocard,Metrocard - Full Fare,3390428
2020-07,Queens,metrocard,Metrocard - Other,372945
2020-07,Queens,metrocard,Metrocard - Seniors & Disability,210695
2020-07,Queens,metrocard,Metrocard - Students,51
2020-07,Queens,metrocard,Metrocard - Unlimited 30-Day,662217
2020-07,Queens,metrocard,Metrocard - Unlimited 7-Day,911576
2020-07,Queens,omny,OMNY - Full Fare,177916
2020-07,Staten Island,metrocard,Metrocard - Fair Fare,1355
2020-07,Staten Island,metrocard,Metrocard - Full Fare,42091
2020-07,Staten Island,metrocard,Metrocard - Other,10161
2020-07,Staten Island,metrocard,Metrocard - Seniors & Disability,3201
2020-07,Staten Island,metrocard,Metrocard - Students,2
2020-07,Staten Island,metrocard,Metrocard - Unlimited 30-Day,4417
2020-07,Staten Island,metrocard,Metrocard - Unlimited 7-Day,4136
2020-07,Staten Island,omny,OMNY - Full Fare,3466
2020-08,Bronx,metrocard,Metrocard - Fair Fare,214423
2020-08,Bronx,metrocard,Metrocard - Full Fare,1925164
2020-08,Bronx,metrocard,Metrocard - Other,293393
2020-08,Bronx,metrocard,Metrocard - Seniors & Disability,125740
2020-08,Bronx,metrocard,Metrocard - Students,210
2020-08,Bronx,metrocard,Metrocard - Unlimited 30-Day,409906
2020-08,Bronx,metrocard,Metrocard - Unlimited 7-Day,703452
2020-08,Bronx,omny,OMNY - Full Fare,330232
2020-08,Brooklyn,metrocard,Metrocard - Fair Fare,337490
2020-08,Brooklyn,metrocard,Metrocard - Full Fare,4986165
2020-08,Brooklyn,metrocard,Metrocard - Other,624755
2020-08,Brooklyn,metrocard,Metrocard - Seniors & Disability,361179
2020-08,Brooklyn,metrocard,Metrocard - Students,132
2020-08,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,1094750
2020-08,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,1203467
2020-08,Brooklyn,omny,OMNY - Full Fare,235301
2020-08,Manhattan,metrocard,Metrocard - Fair Fare,477404
2020-08,Manhattan,metrocard,Metrocard - Full Fare,8287104
2020-08,Manhattan,metrocard,Metrocard - Other,1096150
2020-08,Manhattan,metrocard,Metrocard - Seniors & Disability,654372
2020-08,Manhattan,metrocard,Metrocard - Students,350
2020-08,Manhattan,metrocard,Metrocard - Unlimited 30-Day,1984890
2020-08,Manhattan,metrocard,Metrocard - Unlimited 7-Day,2022810
2020-08,Manhattan,omny,OMNY - Full Fare,1460876
2020-08,Queens,metrocard,Metrocard - Fair Fare,159865
2020-08,Queens,metrocard,Metrocard - Full Fare,3514192
2020-08,Queens,metrocard,Metrocard - Other,387603
2020-08,Queens,metrocard,Metrocard - Seniors & Disability,243307
2020-08,Queens,metrocard,Metrocard - Students,103
2020-08,Queens,metrocard,Metrocard - Unlimited 30-Day,749564
2020-08,Queens,metrocard,Metrocard - Unlimited 7-Day,979929
