station_complex_id,year,dow,hora,share,total_anual
1,2023,3,18,0.00692979,3286822
1,2023,3,19,0.00433580,3286822
1,2023,3,20,0.00322895,3286822
1,2023,3,21,0.00247443,3286822
1,2023,3,22,0.00226845,3286822
1,2023,3,23,0.00100583,3286822
1,2023,4,0,0.00052026,3286822
1,2023,4,1,0.00022910,3286822
1,2023,4,2,0.00013904,3286822
1,2023,4,3,0.00026348,3286822
1,2023,4,4,0.00083698,3286822
1,2023,4,5,0.00356636,3286822
1,2023,4,6,0.00955999,3286822
1,2023,4,7,0.02204896,3286822
1,2023,4,8,0.03090371,3286822
1,2023,4,9,0.01550160,3286822
1,2023,4,10,0.00942917,3286822
1,2023,4,11,0.00737095,3286822
1,2023,4,12,0.00643570,3286822
1,2023,4,13,0.00692188,3286822
1,2023,4,14,0.00925332,3286822
1,2023,4,15,0.00947268,3286822
1,2023,4,16,0.00946537,3286822
1,2023,4,17,0.00944225,3286822
1,2023,4,18,0.00709561,3286822
1,2023,4,19,0.00440851,3286822
1,2023,4,20,0.00341333,3286822
1,2023,4,21,0.00249937,3286822
1,2023,4,22,0.00243305,3286822
1,2023,4,23,0.00107977,3286822
1,2023,5,0,0.00051600,3286822
1,2023,5,1,0.00026226,3286822
1,2023,5,2,0.00015395,3286822
1,2023,5,3,0.00028264,3286822
1,2023,5,4,0.00082025,3286822
1,2023,5,5,0.00352194,3286822
1,2023,5,6,0.00856968,3286822
1,2023,5,7,0.01772137,3286822
1,2023,5,8,0.02090469,3286822
1,2023,5,9,0.01229060,3286822
1,2023,5,10,0.00843246,3286822
1,2023,5,11,0.00707218,3286822
1,2023,5,12,0.00676915,3286822
1,2023,5,13,0.00724591,3286822
1,2023,5,14,0.00948758,3286822
1,2023,5,15,0.00980339,3286822
1,2023,5,16,0.00992752,3286822
1,2023,5,17,0.01009455,3286822
1,2023,5,18,0.00865821,3286822
1,2023,5,19,0.00579831,3286822
1,2023,5,20,0.00424848,3286822
1,2023,5,21,0.00314985,3286822
1,2023,5,22,0.00276833,3286822
1,2023,5,23,0.00170408,3286822
1,2023,6,0,0.00089813,3286822
1,2023,6,1,0.00040951,3286822
1,2023,6,2,0.00023731,3286822
1,2023,6,3,0.00022027,3286822
1,2023,6,4,0.00040160,3286822
1,2023,6,5,0.00112327,3286822
1,2023,6,6,0.00226145,3286822
1,2023,6,7,0.00347266,3286822
1,2023,6,8,0.00500027,3286822
1,2023,6,9,0.00642657,3286822
1,2023,6,10,0.00674055,3286822
1,2023,6,11,0.00743332,3286822
1,2023,6,12,0.00774000,3286822
1,2023,6,13,0.00790551,3286822
1,2023,6,14,0.00776038,3286822
1,2023,6,15,0.00733931,3286822
1,2023,6,16,0.00652484,3286822
1,2023,6,17,0.00665019,3286822
1,2023,6,18,0.00597142,3286822
1,2023,6,19,0.00454056,3286822
1,2023,6,20,0.00335826,3286822
1,2023,6,21,0.00285595,3286822
1,2023,6,22,0.00249907,3286822
1,2023,6,23,0.00162558,3286822
1,2024,0,0,0.00088898,3394918
1,2024,0,1,0.00047542,3394918
1,2024,0,2,0.00023889,3394918
1,2024,0,3,0.00022593,3394918
1,2024,0,4,0.00039500,3394918
1,2024,0,5,0.00081740,3394918
1,2024,0,6,0.00160534,3394918
1,2024,0,7,0.00212700,3394918
1,2024,0,8,0.00341098,3394918
1,2024,0,9,0.00482339,3394918
1,2024,0,10,0.00572473,3394918
1,2024,0,11,0.00624964,3394918
1,2024,0,12,0.00657630,3394918
1,2024,0,13,0.00657218,3394918
1,2024,0,14,0.00643403,3394918
1,2024,0,15,0.00564167,3394918
1,2024,0,16,0.00489408,3394918
1,2024,0,17,0.00471941,3394918
1,2024,0,18,0.00393647,3394918
1,2024,0,19,0.00304926,3394918
1,2024,0,20,0.00248990,3394918
1,2024,0,21,0.00205454,3394918
1,2024,0,22,0.00185984,3394918
1,2024,0,23,0.00087278,3394918
1,2024,1,0,0.00058764,3394918
1,2024,1,1,0.00027954,3394918
1,2024,1,2,0.00023624,3394918
1,2024,1,3,0.00031724,3394918
1,2024,1,4,0.00084244,3394918
1,2024,1,5,0.00334088,3394918
1,2024,1,6,0.00884469,3394918
1,2024,1,7,0.01870914,3394918
1,2024,1,8,0.02443476,3394918
1,2024,1,9,0.01246157,3394918
1,2024,1,10,0.00809592,3394918
1,2024,1,11,0.00667969,3394918
1,2024,1,12,0.00642725,3394918
1,2024,1,13,0.00688647,3394918
1,2024,1,14,0.00844144,3394918
1,2024,1,15,0.00813245,3394918
1,2024,1,16,0.00774275,3394918
1,2024,1,17,0.00880169,3394918
1,2024,1,18,0.00651592,3394918
1,2024,1,19,0.00408640,3394918
1,2024,1,20,0.00314146,3394918
1,2024,1,21,0.00237414,3394918
1,2024,1,22,0.00194114,3394918
1,2024,1,23,0.00085481,3394918
1,2024,2,0,0.00051754,3394918
1,2024,2,1,0.00024802,3394918
1,2024,2,2,0.00021621,3394918
1,2024,2,3,0.00031194,3394918
1,2024,2,4,0.00092049,3394918
1,2024,2,5,0.00383014,3394918
1,2024,2,6,0.01010717,3394918
1,2024,2,7,0.02288303,3394918
1,2024,2,8,0.03258930,3394918
1,2024,2,9,0.01576238,3394918
1,2024,2,10,0.00909124,3394918
1,2024,2,11,0.00697867,3394918
