station_complex_id,dow,hora,ridership
108,1,11,798
108,1,12,827
108,1,13,967
108,1,14,1654
108,1,15,1558
108,1,16,2422
108,1,17,1565
108,1,18,1114
108,1,19,722
108,1,20,511
108,1,21,367
108,1,22,310
108,1,23,229
108,2,0,87
108,2,1,20
108,2,2,23
108,2,3,84
108,2,4,235
108,2,5,1426
108,2,6,2886
108,2,7,5336
108,2,8,4657
108,2,9,1734
108,2,10,914
108,2,11,738
108,2,12,836
108,2,13,989
108,2,14,1860
108,2,15,1724
108,2,16,2581
108,2,17,1693
108,2,18,1169
108,2,19,733
108,2,20,523
108,2,21,318
108,2,22,270
108,2,23,184
108,3,0,95
108,3,1,42
108,3,2,37
108,3,3,101
108,3,4,246
108,3,5,1457
108,3,6,2846
108,3,7,5229
108,3,8,4642
108,3,9,1757
108,3,10,1057
108,3,11,887
108,3,12,919
108,3,13,1052
108,3,14,2856
108,3,15,1821
108,3,16,2004
108,3,17,1796
108,3,18,1246
108,3,19,829
108,3,20,562
108,3,21,363
108,3,22,311
108,3,23,226
108,4,0,108
108,4,1,48
108,4,2,33
108,4,3,92
108,4,4,275
108,4,5,1568
108,4,6,3046
108,4,7,6011
108,4,8,4949
108,4,9,1920
108,4,10,1187
108,4,11,979
108,4,12,956
108,4,13,1086
108,4,14,2086
108,4,15,1910
108,4,16,2941
108,4,17,1954
108,4,18,1379
108,4,19,896
108,4,20,569
108,4,21,437
108,4,22,352
108,4,23,227
108,5,0,93
108,5,1,44
108,5,2,36
108,5,3,115
108,5,4,250
108,5,5,1496
108,5,6,2811
108,5,7,5490
108,5,8,4619
108,5,9,1861
108,5,10,1146
108,5,11,776
108,5,12,838
108,5,13,1130
108,5,14,2225
108,5,15,1925
108,5,16,3061
108,5,17,1992
108,5,18,1164
108,5,19,799
108,5,20,632
108,5,21,402
108,5,22,404
108,5,23,239
108,6,0,129
108,6,1,51
108,6,2,46
108,6,3,33
108,6,4,79
108,6,5,326
108,6,6,496
108,6,7,829
108,6,8,1008
108,6,9,950
108,6,10,942
108,6,11,983
108,6,12,1025
108,6,13,1070
108,6,14,1046
108,6,15,1091
108,6,16,1087
108,6,17,1023
108,6,18,895
108,6,19,749
108,6,20,595
108,6,21,447
108,6,22,414
108,6,23,203
109,0,0,146
109,0,1,89
109,0,2,65
109,0,3,54
109,0,4,103
109,0,5,374
109,0,6,705
109,0,7,1195
109,0,8,1445
109,0,9,1724
109,0,10,1759
109,0,11,1799
109,0,12,1727
109,0,13,1823
109,0,14,1741
109,0,15,1560
109,0,16,1212
109,0,17,1103
109,0,18,889
109,0,19,633
109,0,20,439
109,0,21,370
109,0,22,339
109,0,23,159
109,1,0,67
109,1,1,52
109,1,2,53
109,1,3,72
109,1,4,327
109,1,5,2181
109,1,6,4784
109,1,7,8767
109,1,8,7520
109,1,9,3712
109,1,10,2280
109,1,11,1890
109,1,12,1599
109,1,13,1857
109,1,14,1784
109,1,15,1941
109,1,16,1800
109,1,17,1680
109,1,18,1059
109,1,19,666
109,1,20,480
109,1,21,433
109,1,22,348
109,1,23,156
109,2,0,87
109,2,1,83
109,2,2,41
109,2,3,78
109,2,4,343
109,2,5,2411
109,2,6,5579
109,2,7,10050
109,2,8,8847
109,2,9,4123
109,2,10,2381
109,2,11,1764
109,2,12,1652
109,2,13,1829
109,2,14,1808
109,2,15,2134
109,2,16,1920
109,2,17,1643
109,2,18,1098
109,2,19,733
109,2,20,514
109,2,21,505
109,2,22,376
109,2,23,174
109,3,0,81
109,3,1,91
109,3,2,61
109,3,3,76
109,3,4,391
109,3,5,2598
109,3,6,5660
109,3,7,10330
109,3,8,8815
109,3,9,4255
109,3,10,2539
109,3,11,1961
109,3,12,1800
109,3,13,2152
109,3,14,2007
109,3,15,2317
109,3,16,2024
109,3,17,1879
109,3,18,1228
109,3,19,803
109,3,20,530
109,3,21,534
109,3,22,383
109,3,23,181
109,4,0,83
109,4,1,75
109,4,2,64
109,4,3,78
109,4,4,422
109,4,5,2763
109,4,6,6091
109,4,7,11385
109,4,8,9732
109,4,9,4597
109,4,10,2682
109,4,11,2059
109,4,12,1872
109,4,13,2138
109,4,14,2020
109,4,15,2445
109,4,16,2194
109,4,17,2060
109,4,18,1368
109,4,19,906
109,4,20,616
109,4,21,581
109,4,22,396
109,4,23,204
109,5,0,84
109,5,1,61
109,5,2,62
109,5,3,92
109,5,4,394
109,5,5,2673
109,5,6,5877
109,5,7,10593
109,5,8,9055
109,5,9,4417
109,5,10,2620
109,5,11,2017
109,5,12,1875
109,5,13,2133
109,5,14,2152
109,5,15,2523
109,5,16,2320
109,5,17,2005
109,5,18,1604
