station_complex_id,dow,hora,share,total_prepandemia
45,4,11,0.00699548,167108
45,4,12,0.00694162,167108
45,4,13,0.00709721,167108
45,4,14,0.00727673,167108
45,4,15,0.00787515,167108
45,4,16,0.00769562,167108
45,4,17,0.00772554,167108
45,4,18,0.00686382,167108
45,4,19,0.00377002,167108
45,4,20,0.00281255,167108
45,4,21,0.00230390,167108
45,4,22,0.00468559,167108
45,4,23,0.00162171,167108
45,5,0,0.00064030,167108
45,5,1,0.00029921,167108
45,5,2,0.00017354,167108
45,5,3,0.00057448,167108
45,5,4,0.00131651,167108
45,5,5,0.00500275,167108
45,5,6,0.00973622,167108
45,5,7,0.02816143,167108
45,5,8,0.03310434,167108
45,5,9,0.01748570,167108
45,5,10,0.00857529,167108
45,5,11,0.00690571,167108
45,5,12,0.00704335,167108
45,5,13,0.00647485,167108
45,5,14,0.00802475,167108
45,5,15,0.00791105,167108
45,5,16,0.00782129,167108
45,5,17,0.00819231,167108
45,5,18,0.00727673,167108
45,5,19,0.00469158,167108
45,5,20,0.00373411,167108
45,5,21,0.00259712,167108
45,5,22,0.00268689,167108
45,5,23,0.00124470,167108
45,6,0,0.00066424,167108
45,6,1,0.00031716,167108
45,6,2,0.00010771,167108
45,6,3,0.00030519,167108
45,6,4,0.00063432,167108
45,6,5,0.00126266,167108
45,6,6,0.00218422,167108
45,6,7,0.00337506,167108
45,6,8,0.00469158,167108
45,6,9,0.00470953,167108
45,6,10,0.00467362,167108
45,6,11,0.00540968,167108
45,6,12,0.00509850,167108
45,6,13,0.00521818,167108
45,6,14,0.00478134,167108
45,6,15,0.00478134,167108
45,6,16,0.00458386,167108
45,6,17,0.00433253,167108
45,6,18,0.00444024,167108
45,6,19,0.00295617,167108
45,6,20,0.00227996,167108
45,6,21,0.00257917,167108
45,6,22,0.00212437,167108
45,6,23,0.00109510,167108
450,0,0,0.00059688,1030351
450,0,1,0.00034648,1030351
450,0,2,0.00031640,1030351
450,0,3,0.00046198,1030351
450,0,4,0.00099772,1030351
450,0,5,0.00167710,1030351
450,0,6,0.00340952,1030351
450,0,7,0.00477604,1030351
450,0,8,0.00569709,1030351
450,0,9,0.00679477,1030351
450,0,10,0.00603193,1030351
450,0,11,0.00522637,1030351
450,0,12,0.00521570,1030351
450,0,13,0.00562430,1030351
450,0,14,0.00615421,1030351
450,0,15,0.00592517,1030351
450,0,16,0.00489445,1030351
450,0,17,0.00422477,1030351
450,0,18,0.00332508,1030351
450,0,19,0.00238462,1030351
450,0,20,0.00195856,1030351
450,0,21,0.00156743,1030351
450,0,22,0.00118018,1030351
450,0,23,0.00079682,1030351
450,1,0,0.00036784,1030351
450,1,1,0.00023875,1030351
450,1,2,0.00029116,1030351
450,1,3,0.00069006,1030351
450,1,4,0.00259232,1030351
450,1,5,0.00985684,1030351
450,1,6,0.01698644,1030351
450,1,7,0.02039693,1030351
450,1,8,0.01597902,1030351
450,1,9,0.00957926,1030351
450,1,10,0.00772067,1030351
450,1,11,0.00556024,1030351
450,1,12,0.00479060,1030351
450,1,13,0.00558159,1030351
450,1,14,0.00634929,1030351
450,1,15,0.00748386,1030351
450,1,16,0.00669286,1030351
450,1,17,0.00639491,1030351
450,1,18,0.00478769,1030351
450,1,19,0.00361430,1030351
450,1,20,0.00252535,1030351
450,1,21,0.00190226,1030351
450,1,22,0.00147814,1030351
450,1,23,0.00076673,1030351
450,2,0,0.00035910,1030351
450,2,1,0.00020090,1030351
450,2,2,0.00026302,1030351
