transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,georeference
2020-08-15T17:00:00.000,subway,110,Forest Av (M),Queens,metrocard,Metrocard - Full Fare,29.0,0.0,40.704422,-73.903076,POINT (-73.903076 40.704422)
2020-08-15T17:00:00.000,subway,110,Forest Av (M),Queens,metrocard,Metrocard - Other,5.0,0.0,40.704422,-73.903076,POINT (-73.903076 40.704422)
2020-08-15T17:00:00.000,subway,110,Forest Av (M),Queens,metrocard,Metrocard - Seniors & Disability,1.0,0.0,40.704422,-73.903076,POINT (-73.903076 40.704422)
2020-08-15T17:00:00.000,subway,110,Forest Av (M),Queens,metrocard,Metrocard - Unlimited 30-Day,3.0,0.0,40.704422,-73.903076,POINT (-73.903076 40.704422)
2020-08-15T17:00:00.000,subway,110,Forest Av (M),Queens,metrocard,Metrocard - Unlimited 7-Day,2.0,0.0,40.704422,-73.903076,POINT (-73.903076 40.704422)
2020-08-15T17:00:00.000,subway,111,Seneca Av (M),Queens,metrocard,Metrocard - Fair Fare,1.0,0.0,40.702763,-73.90774,POINT (-73.90774 40.702763)
2020-08-15T17:00:00.000,subway,111,Seneca Av (M),Queens,metrocard,Metrocard - Full Fare,19.0,0.0,40.702763,-73.90774,POINT (-73.90774 40.702763)
2020-08-15T17:00:00.000,subway,111,Seneca Av (M),Queens,metrocard,Metrocard - Other,2.0,0.0,40.702763,-73.90774,POINT (-73.90774 40.702763)
2020-08-15T17:00:00.000,subway,111,Seneca Av (M),Queens,metrocard,Metrocard - Seniors & Disability,1.0,0.0,40.702763,-73.90774,POINT (-73.90774 40.702763)
2020-08-15T17:00:00.000,subway,111,Seneca Av (M),Queens,metrocard,Metrocard - Unlimited 30-Day,3.0,0.0,40.702763,-73.90774,POINT (-73.90774 40.702763)
2020-08-15T17:00:00.000,subway,111,Seneca Av (M),Queens,metrocard,Metrocard - Unlimited 7-Day,6.0,0.0,40.702763,-73.90774,POINT (-73.90774 40.702763)
2020-08-15T17:00:00.000,subway,113,Knickerbocker Av (M),Brooklyn,metrocard,Metrocard - Fair Fare,2.0,0.0,40.698666,-73.91971,POINT (-73.91971 40.698666)
2020-08-15T17:00:00.000,subway,113,Knickerbocker Av (M),Brooklyn,metrocard,Metrocard - Full Fare,38.0,0.0,40.698666,-73.91971,POINT (-73.91971 40.698666)
2020-08-15T17:00:00.000,subway,113,Knickerbocker Av (M),Brooklyn,metrocard,Metrocard - Other,3.0,0.0,40.698666,-73.91971,POINT (-73.91971 40.698666)
2020-08-15T17:00:00.000,subway,113,Knickerbocker Av (M),Brooklyn,metrocard,Metrocard - Seniors & Disability,1.0,0.0,40.698666,-73.91971,POINT (-73.91971 40.698666)
2020-08-15T17:00:00.000,subway,113,Knickerbocker Av (M),Brooklyn,metrocard,Metrocard - Unlimited 30-Day,3.0,0.0,40.698666,-73.91971,POINT (-73.91971 40.698666)
2020-08-15T17:00:00.000,subway,113,Knickerbocker Av (M),Brooklyn,metrocard,Metrocard - Unlimited 7-Day,7.0,0.0,40.698666,-73.91971,POINT (-73.91971 40.698666)
2020-08-15T17:00:00.000,subway,114,Central Av (M),Brooklyn,metrocard,Metrocard - Fair Fare,1.0,0.0,40.697857,-73.9274,POINT (-73.9274 40.697857)
2020-08-15T17:00:00.000,subway,114,Central Av (M),Brooklyn,metrocard,Metrocard - Full Fare,18.0,0.0,40.697857,-73.9274,POINT (-73.9274 40.697857)
2020-08-15T17:00:00.000,subway,114,Central Av (M),Brooklyn,metrocard,Metrocard - Seniors & Disability,2.0,0.0,40.697857,-73.9274,POINT (-73.9274 40.697857)
2020-08-15T17:00:00.000,subway,114,Central Av (M),Brooklyn,metrocard,Metrocard - Unlimited 30-Day,2.0,0.0,40.697857,-73.9274,POINT (-73.9274 40.697857)
